Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Release,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2017","2017","July 2025 (SOFI report)","LCU/cap/d","97.34","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2018","2018","July 2025 (SOFI report)","LCU/cap/d","99.49","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2019","2019","July 2025 (SOFI report)","LCU/cap/d","109.92","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2020","2020","July 2025 (SOFI report)","LCU/cap/d","126.96","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2021","2021","July 2025 (SOFI report)","LCU/cap/d","140.33","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2022","2022","July 2025 (SOFI report)","LCU/cap/d","174.55","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2023","2023","July 2025 (SOFI report)","LCU/cap/d","241.77","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2024","2024","July 2025 (SOFI report)","LCU/cap/d","256.13","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2017","2017","July 2025 (SOFI report)","Int$ (PPP) per person per day","2.97","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","July 2025 (SOFI report)","Int$ (PPP) per person per day","2.91","E","Estimated value"
